RSS;BRA;BAG;BOS
0,83644804;0,90303279;1,551264728;1,004451772
0,839197577;0,891935937;1,541799746;1,074542968
0,748701607;0,950770804;1,675792871;0,898162751
0,768291548;0,785465811;1,597911234;0,951556136
0,827463639;0,787078234;1,581860643;0,904049129
0,799500474;0,815598769;1,561182077;1,033106376
0,855106134;0,872057545;1,769963201;0,903632741
0,863863313;0,791834285;1,45831955;0,981827971
0,786023293;0,65431882;1,477254361;0,919075631
0,74523047;0,720255895;1,386097724;0,792170259
0,771901586;0,93796098;1,756206146;1,124231697
0,897804709;0,799416412;1,688938926;0,903226723
0,92119872;0,895550958;1,623897495;1,079657145
0,844309562;0,815970376;1,803863622;1,012484812
0,846405418;0,883688421;1,602992893;0,955110794
0,799735009;0,707814369;1,484485536;1,150065241
0,812680026;0,706000753;1,551752685;1,034394029
0,77159573;0,858465634;1,529219832;0,873133119
0,74328189;0,844382598;1,580247122;1,071144187
0,785131442;0,764150761;1,525671035;1,001366363
0,876217242;0,788038569;1,660325973;1,017653429
0,824006322;0,793715945;1,650241563;1,048521229
0,991132303;0,839432514;1,533781698;1,143934017
0,802793624;0,762868751;1,443455622;1,031862675
0,883658835;0,903219749;1,591183181;1,072048822
0,805789189;0,75345434;1,762696872;0,953484005
0,929908918;0,815628909;1,621539018;1,069232488
0,925070612;0,768772543;1,613507341;0,966543197
0,873323611;0,720662049;1,568634832;1,188256242
0,728851332;0,858229877;1,622157046;0,941050266
0,79523936;0,874348347;1,56691806;1,060250026
0,842435844;0,714295059;1,736281238;0,935695429
0,772348329;0,77336869;1,648306991;1,014993813
0,701403189;0,956781431;1,857796406;1,521061507
0,769380479;1,060510842;1,60774039;1,64822696
0,913692715;0,915030042;1,714689905;0,973834871
0,887629763;0,880112477;1,593983141;1,570617064
0,77667893;0,923901096;1,972811671;0,990962506
0,945591729;0,748816076;1,632540402;1,51017218
0,996004984;0,873029018;1,755796091;0,990224047
0,895807301;0,924049051;1,530152965;1,709412355
0,721552483;0,817953198;1,783207909;0,977632299
0,800694677;0,81426187;1,613499353;1,486979393
0,848489234;0,776808866;1,501200295;0,984239459
0,817104989;0,86125915;1,388590796;1,406369854
0,771901586;0,93796098;1,756206146;1,124231697
0,793134566;0,780259297;1,721580278;0,850569464
0,92152205;0,80077153;1,632220977;1,496162728
0,778280499;0,761861763;1,594876979;1,10423094
0,763921209;1,000385071;1,663798872;1,521878535
0,671197095;0,786666809;1,50313823;1,041328777
0,762275807;0,828173557;1,545470716;1,536615681
0,772049255;0,884163955;1,641396882;1,00252492
0,94729072;0,763987609;1,70921896;1,638950791
0,879701168;0,943731686;1,507771412;0,995890057
0,679285836;0,873816899;1,734141808;1,452775838
0,864006485;0,74213983;1,732968687;1,008761264
0,761990288;0,78322124;1,791317807;1,684056717
0,933139705;0,840184836;1,543697941;0,960931576
0,963307481;1,029547206;1,708199751;1,609563109
0,793085376;0,827642516;1,77447969;1,08665205
0,89245275;0,803704735;1,57708887;1,516029997
0,877510071;0,784393321;1,696900188;1,07076008
0,867672614;0,877030969;1,590100708;1,584588698
0,696800598;0,832391125;1,671455405;1,006934881
1,218405688;0,998508583;1,596722751;1,520731281
0,791542984;0,653040616;1,56652317;0,983215755
0,763837737;0,873637121;1,698178411;1,43172108
0,835947399;0,788292983;1,66546859;1,141627636
0,903673314;0,822621882;1,672319386;1,125704725
0,803030524;0,903123081;1,753672722;0,861198825
0,876918637;0,682559305;1,435893377;1,121709918
0,784363199;0,789452662;1,864659062;0,955035564
0,802372107;0,786540309;1,732349636;1,130185474
0,772871665;0,783033401;1,772240096;0,938845036
0,791022804;0,798446026;1,614537824;1,105102594
0,804162158;0,724139512;1,695926923;0,912744423
0,799210411;0,755259448;1,536141448;1,020603633
0,765951665;0,891168389;1,606966307;1,06210207
0,874086396;0,795001236;1,497619873;1,050577797
0,897804709;0,799416412;1,688938926;0,903226723
0,793134566;0,780259297;1,721580278;0,850569464
0,79095872;0,776038959;1,611980899;1,135739619
0,764491404;0,70386439;1,732135938;0,96890288
0,94835345;0,815395415;1,646413635;1,117311519
0,744316988;0,744443481;1,664299234;0,984783428
0,751435107;0,767564529;1,63385673;1,058359022
0,742452889;0,816268141;1,710422386;1,088991461
0,735083145;0,830446752;1,650343155;1,063142428
0,836756506;0,845845526;1,54530155;1,01272177
1,021844566;0,761031361;1,850437653;1,113503533
0,767261739;0,750179967;1,661557391;1,033051469
0,806907541;0,791411745;1,642961665;1,04174085
0,810796484;0,742295798;1,667300381;1,059842537
0,781424456;0,931431108;1,542870257;1,10332003
0,827408428;0,839044371;1,920685495;1,008509148
0,833398936;0,751493886;1,551591874;1,037624507
