BOS;BAG;BRA;RSS
7,069068582;8,25666126;5,308433735;5,507895042
8,614388323;7,803284291;6,165963855;5,328464338
6,409406858;8,288583179;6,095783133;5,092875348
4,788600556;8,553434893;5,88373494;6,454952502
8,590755329;7,307599629;5,654216867;6,03836886
6,617632067;7,594138091;6,149096386;6,093512512
7,80173772;7,479564411;6,219277108;5,092788462
7,559615385;7,654274791;4,655120482;5,220279194
8,809754402;7,454147359;5,020481928;5,599067424
7,239272475;8,522034291;5,793072289;5,660264133
7,26221038;8,857622799;5,57439759;5,677276413
7,797057461;8,635362604;5,240124785;5,863606348
8,002641335;7,294201807;6,86746988;5,192727641
7,749930491;7,920035913;5,361445783;5,284215709
7,845111214;8,216108665;5,194879518;5,532883457
7,705074143;7,88267493;5,415963855;5,087193003
8,120597776;7,284383689;5,352409639;5,466861677
7,086190918;7,725011585;6,037349398;5,268686284
8,327548656;7,975666126;5,153960843;5,589121872
8,187071362;8,432101483;4,708433735;5,831675741
8,431742354;8,504153151;5,027710843;5,550689296
6,758086191;8,301691381;5,389759036;5,394694161
8,344555144;8,01131835;4,722650602;5,250886237
7,773748842;8,326801437;5,942620482;6,103220575
8,375092678;8,75929101;5,868072289;5,410530584
7,634592215;8,613287766;4,999698795;4,375998775
8,330027804;7,596779425;6,203915663;5,574716172
6,980954588;8,2971038;5,371686747;5,488032901
8,758109361;8,444485635;4,507831325;5,562175626
7,772544022;8,992174467;5,578012048;4,448291242
8,342330862;8,614376738;5,281024096;6,260032437
6,996547729;8,565123957;4,470481928;5,665454124
7,526818814;8,828469648;5,886144578;5,319717331
6,68839203;8,71918443;8,634487952;4,817475672
6,652548656;7,985629055;6,467771084;7,07425278
5,155166821;8,373737257;5,656626506;6,750341752
6,153127896;8,0019057;6,407680723;6,144266006
5,891149212;8,937552132;6,47560241;6,549409175
4,788600556;8,553434893;5,88373494;6,454952502
6,341913809;8,04476367;6,104216867;6,510287303
5,445713624;7,848123262;6,171536145;6,511862836
6,13083874;7,494300278;5,11686747;5,425503939
5,793813716;8,082333179;4,343825301;5,85827734
6,072497683;7,824814643;5,276506024;6,284702271
6,386353105;9,018095459;6,734487952;6,977780352
5,637279889;9,463600556;7,407078313;6,901558156
7,157113068;9,083080399;4,881551205;6,577415431
6,525718258;7,732304217;5,474698795;6,24166184
6,382645968;7,958926089;6,76626506;6,637135079
6,366983318;8,468784754;5,664307229;6,215367238
6,659012975;8,315471501;5,989307229;6,167452502
5,780931418;7,747312326;5,902710843;6,510976599
6,475625579;7,922069045;6,18253012;5,587685357
7,244045412;8,423036376;5,105986446;6,277907785
5,532391103;8,763264597;4,954216867;7,032602525
6,293280816;9,005578082;6,737951807;6,072098007
6,524073216;8,425092678;5,796084337;6,341311399
6,234175162;8,46597544;5,92686747;6,306122567
6,971061168;8,803875116;7,090286145;7,156047266
6,085287303;8,741543095;6,546084337;6,612013438
6,648772011;8,7014481;4,77876506;5,41407636
6,187303058;8,047335496;6,294126506;6,991768999
6,766682113;8,49418443;6,430421687;6,323436052
7,742910102;8,704170528;5,17439759;6,198876274
5,177085264;8,672329703;6,034186747;4,924843605
6,175231696;9,154854032;6,878463855;7,710820204
6,202942539;8,327554449;4,299096386;6,275278035
6,137430491;8,819167053;6,461144578;6,345296571
8,772642493;7,432993513;6,338716404;3,963113994
8,5168443;8,106116775;6,056672845;6,201668211
6,804836654;7,767006487;4,652455978;6,057460612
8,626662419;7,333920297;6,079448563;4,840176089
6,814376738;7,391380908;6,155375348;5,203336423
8,590755329;7,307599629;5,654216867;6,03836886
6,341913809;8,04476367;6,104216867;6,510287303
5,585629055;7,136793327;5,484082484;5,380352178
7,784041937;6,715848007;5,418350324;4,795736793
7,322190686;7,136978684;5,400671918;5,670620945
8,564197173;6,996107507;5,493141798;5,536422614
6,862841752;7,964040778;5,425834106;6,027247451
7,471472428;8,217238184;6,091404078;5,735495829
8,34517493;8,076088971;4,829781213;5,7197405
8,268755792;6,728915663;5,431510658;5,519091752
7,30482507;7,433456905;5,073030584;5,911770158
8,321391335;7,94244671;5,065546803;4,977571826
7,572619323;7,17618165;4,867261353;4,958850788
7,861185125;7,315848007;5,119508804;5,219091752
7,292817424;7,31510658;6,359684893;5,807599629
8,592533596;7,399351251;5,468096617;6,632622799
7,761017146;7,524189064;5,327525487;5,70639481
8,640025487;7,764504171;5,26978684;5,154587581
6,71237836;7,499536608;4,409128823;5,259128823
8,737401529;7,748285449;5,125801668;4,980166821
7,45364342;8,518350324;5,570817887;5,384986098
8,51146316;8,011862836;5,919508804;5,211677479
7,48180607;8,020018536;5,215315107;4,176539124
7,752015755;7,863021316;5,912303058;5,754772938
7,848876274;7,608897127;5,172891566;5,383317887
8,881603336;8,079147359;5,170574606;5,110101946
6,903342215;8,614179796;5,642747915;4,39592215
8,0634905;8,534012975;7,313785913;6,169230769
7,392104958;7,915013902;4,307275255;5,424652456
7,605019115;8,086468953;6,667886932;6,397219648
6,455079935;7,873772011;6,088096617;4,881278962
6,614341983;6,891682113;5,852235867;7,069230769
5,928701344;7,520806302;5,537025023;5,436422614
6,237830167;7,633063021;7,209447405;5,235379981
5,725498146;7,638021316;6,445956905;5,049304912
6,617632067;7,594138091;6,149096386;6,093512512
5,445713624;7,848123262;6,171536145;6,511862836
5,585629055;7,136793327;5,484082484;5,380352178
6,357860287;7,209267841;6,429981464;5,307414272
6,237158248;7,355560704;4,334980306;5,337998146
6,670082252;6,90055607;4,848911029;5,173586654
6,35306418;8,340593142;6,376465477;6,445227062
6,505253707;8,214921223;6,012204588;5,141149212
6,214730074;7,828846154;4,988912104;6,495736793
6,215465709;7,267168675;5,863762743;5,618211307
6,575028962;8,001459685;5,365894347;5,775810936
5,989185589;7,420227062;5,588085032;5,649953661
7,229662882;7,161190918;5,598221733;6,250139018
6,487552132;7,22613531;4,752745598;6,286283596
6,117099166;7,366774791;6,496362373;6,193697868
6,374414968;8,114249305;5,293902244;5,471918443
6,522555607;8,382344764;5,28081557;6,099119555
6,259765987;7,937557924;5,568419833;5,859962929
6,142915894;7,556348471;4,672092215;5,481556997
6,084899212;7,742585728;5,174629286;6,494995366
7,223939991;6,829263207;5,388122683;5,368489342
6,664243513;7,78952734;5,894914272;5,661723818
6,419572521;8,094300278;4,56320088;5,193843506
6,792608897;7,492029657;6,346182808;6,365245598
5,990766914;7,858109361;4,850150602;6,365523633
7,569462465;7,682669138;4,361248842;5,61742354
5,386891798;7,962303058;5,130207368;5,827154773
6,734621177;7,860287303;5,74724861;5,255607044
5,822271779;7,768466172;4,0293443;6,041149212
5,680065454;7,871339203;5,774038462;5,227988879
7,822607739;7,227618165;5,089573679;4,298638786
7,901598703;7,213113994;5,52094532;6,619873726
6,353017841;6,922984245;5,741427247;4,977519694
8,550654541;6,65695088;6,740268767;6,686695339
6,239330399;7,49244671;5,654958295;4,680410102
7,80173772;7,479564411;6,219277108;5,092788462
6,13083874;7,494300278;5,11686747;5,425503939
7,784041937;6,715848007;5,418350324;4,795736793
6,357860287;7,209267841;6,429981464;5,307414272
5,433902919;6,919833179;4,323586654;3,98735519
7,766780584;6,968489342;5,006116775;4,513641103
6,591629981;7,212974977;5,478822984;6,23607507
7,249125348;7,676552363;5,457414272;5,211544254
6,881724977;7,412372567;4,90753674;6,647735171
7,754645505;6,713855422;6,358480074;5,206154425
6,92369671;7,224513438;5,320667285;5,38590709
7,279419601;7,216450417;4,878359592;5,126650834
7,527820899;6,710426321;5,481047266;5,760107739
7,125214319;7,065987025;4,997497683;5,372908943
7,301621872;7,145412419;5,977571826;5,902374884
7,638073448;7,661214087;5,251146895;5,410947637
7,318732623;7,665523633;4,735495829;5,068828197
7,888843837;7,167701576;5,273772011;5,249136932
7,048302827;7,374791474;4,522613531;4,861700649
8,165077618;7,113716404;5,017052827;6,167823216
7,190170297;7,133317887;5,962998146;5,234916589
7,723499768;7,560518999;5,944485635;5,621420297
7,160200417;7,525393883;4,737488415;4,555996789
8,04826228;7,069323448;7,370018536;5,485490037
6,933561168;7,292678406;5,078313253;5,64915431
8,733225209;7,164411492;4,970806302;5,479738184
6,064567887;7,847405005;4,999768304;5,084041937
8,390239805;7,348378128;5,604124189;4,764481001
6,342348239;7,408202039;4,354680259;5,728938832
7,282596733;7,417284523;5,770435589;4,595064875
7,076813021;7,662835959;4,964787998;3,736764365
7,642701576;7,631452734;4,774664041;4,926372799
5,662853336;7,642284523;5,183549583;5,573916821
6,789776413;6,83926089;4,587250927;4,300870308
6,25608202;7,887847544;4,853649212;4,609673309
7,559615385;7,654274791;4,655120482;5,220279194
5,793813716;8,082333179;4,343825301;5,85827734
7,322190686;7,136978684;5,400671918;5,670620945
6,237158248;7,355560704;4,334980306;5,337998146
5,433902919;6,919833179;4,323586654;3,98735519
7,045754171;7,08892493;6,852432808;5,972179101
7,537169833;7,644531974;4,772341288;5,145389249
6,22661608;7,895690454;4,911416821;4,948047961
7,483265755;7,658236793;5,942132679;4,917788462
7,104158943;6,968825301;4,710101946;5,00691323
6,706493281;7,5432924;4,286190918;4,159598007
6,626674004;7,798876274;4,545870019;5,125619787
7,503851946;7,940442539;3,74609013;4,324044254
6,49695899;7,155977757;5,292597312;4,918471965
6,139898054;7,507066728;5,793489342;5,158236793
7,569920065;7,664469416;4,771309565;4,17589203
6,924316497;7,971663577;5,371825765;5,388169022
7,328811399;8,040952271;3,957298424;4,016294022
5,995418211;7,681139944;4,048273865;4,898632994
7,439162419;7,314434662;6,040949954;4,409933967
6,869213392;7,696767841;4,020305259;5,475370714
7,253817192;7,645829472;5,393802132;4,850498146
7,080508573;7,526621872;6,044989574;4,489044916
6,689179796;7,137859129;4,829176321;5,139162419
6,650544486;7,629703429;4,803162651;5,404043095
7,520713624;7,943466172;6,060322057;5,040002317
6,603249537;7,932750232;4,83646316;3,480554912
6,596947405;8,336677479;5,504570204;4,450532901
6,836405236;8,083144115;5,096350788;5,493303985
6,609560357;8,025220111;5,095169138;4,785287303
8,287169833;7,494717331;5,544230769;4,708393188
8,005166821;7,187557924;4,393188137;5,810953429
6,889197173;7,18781279;5,016682113;6,656643883
8,238919138;7,254332715;4,71804912;5,123220285
6,434348934;7,32036608;5,274281742;4,986665894
8,809754402;7,454147359;5,020481928;5,599067424
6,072497683;7,824814643;5,276506024;6,284702271
8,564197173;6,996107507;5,493141798;5,536422614
6,670082252;6,90055607;4,848911029;5,173586654
7,766780584;6,968489342;5,006116775;4,513641103
7,045754171;7,08892493;6,852432808;5,972179101
5,783578545;7,157645968;4,622265987;5,808549583
7,227009963;7,704448563;5,620829472;4,941502549
7,705809778;7,526019462;5,341137627;6,350260658
7,648783596;7,155722892;4,563113994;5,279150255
7,563467331;7,471663577;4,353660797;5,699693003
7,802925162;7,427131603;4,884499537;6,108694393
7,83330051;6,753637627;4,51800278;4,764579472
7,971680955;7,173308619;5,327386469;5,549067424
6,998100093;7,336098239;5,186561631;5,044033828
8,361694856;7,446733086;5,482819354;4,557055144
7,496188601;7,324606117;5,815199259;5,838950996
8,282147822;7,323146432;4,33892493;5,621217563
6,659806534;7,349860982;4,358063021;6,324073216
8,113374652;7,398100093;5,415588508;5,003527572
7,197457136;7,627734013;4,496698332;5,322126969
8,284980306;7,324281742;5,681603336;5,2014481
7,568390871;7,78781279;6,075787766;5,072635873
8,145064875;7,186376274;5,272775718;5,35219532
6,97589203;7,510379981;4,742771084;5,387754866
8,74944393;7,43892493;6,141195551;5,830757646
6,703782437;7,636121409;4,616658943;4,609829703
8,248546108;8,070203892;5,659615385;5,400162187
6,812100324;8,009383689;5,067886932;5,010403151
7,825767493;8,252386469;5,592910102;5,751598703
7,451778267;8,873401297;7,186416821;5,062442076
8,317817424;8,014017609;6,944613068;7,763044486
6,093263438;8,492261353;5,951390176;6,028660797
7,289973355;7,807854495;6,196484013;5,683130599
6,4322405;8,718651529;7,010206209;5,664643188
7,239272475;8,522034291;5,793072289;5,660264133
6,386353105;9,018095459;6,734487952;6,977780352
6,862841752;7,964040778;5,425834106;6,027247451
6,35306418;8,340593142;6,376465477;6,445227062
6,591629981;7,212974977;5,478822984;6,23607507
7,537169833;7,644531974;4,772341288;5,145389249
5,783578545;7,157645968;4,622265987;5,808549583
6,657582252;9,371733086;6,614486793;5,6692076
7,317707368;9,434962929;5,34801362;6,931116775
7,301494439;7,951506024;6,164596849;6,326679796
7,372051668;8,740477294;5,986098239;6,36916126
7,268738415;8,543860056;6,452322753;5,813044486
7,944294486;8,306510658;5,802705051;6,08255329
6,580566497;7,996107507;5,667643652;6,797613531
6,784847081;7,796617238;6,31976367;6,183086191
7,359134615;8,388021316;5,14462417;5,677247451
8,123598239;9,07094532;4,686005561;6,285345227
7,27702734;8,774629286;6,20173772;6,134592215
7,228631835;8,588044486;5,830039388;6,252548656
7,797862604;8,339620019;6,372544022;6,285611677
7,588571594;8,311932345;5,652285102;6,420852641
6,955311631;8,703892493;6,431499073;6,078359592
7,571252317;8,832020389;4,688142956;4,846779425
6,805908248;8,260889713;6,401546571;6,954147359
7,511735403;8,407136237;5,576355422;6,60931418
