BOS;BAG;BRA;RSS
0,151442308;0,122596154;0,182692308;0,213942308
0,230769231;0,100961538;0,223557692;0,192307692
0,098557692;0,149038462;0,175480769;0,161057692
0,158653846;0,110576923;0,192307692;0,175480769
0,117788462;0,117788462;0,177884615;0,182692308
0,153846154;0,112980769;0,266826923;0,271634615
0,081730769;0,120192308;0,262019231;0,15625
0,170673077;0,110576923;0,213942308;0,185096154
0,120192308;0,108173077;0,197115385;0,182692308
0,161057692;0,103365385;0,269230769;0,233173077
0,112980769;0,120192308;0,129807692;0,189903846
0,134615385;0,112980769;0,211538462;0,216346154
0,120192308;0,108173077;0,221153846;0,199519231
0,173076923;0,122596154;0,168269231;0,209134615
0,09375;0,134615385;0,206730769;0,192307692
0,175480769;0,129807692;0,233173077;0,204326923
0,105769231;0,105769231;0,192307692;0,204326923
0,144230769;0,112980769;0,286057692;0,189903846
0,112980769;0,105769231;0,1875;0,163461538
0,182692308;0,103365385;0,199519231;0,1875
0,108173077;0,105769231;0,252403846;0,201923077
0,177884615;0,110576923;0,189903846;0,180288462
0,086538462;0,09375;0,194711538;0,170673077
0,15625;0,096153846;0,223557692;0,252403846
0,098557692;0,115384615;0,209134615;0,185096154
0,182692308;0,108173077;0,1875;0,206730769
0,120192308;0,115384615;0,271634615;0,180288462
0,117788462;0,105769231;0,209134615;0,216346154
0,091346154;0,103365385;0,211538462;0,149038462
0,168269231;0,115384615;0,254807692;0,1875
0,115384615;0,098557692;0,199519231;0,165865385
