BAG;RSS;BOS;BRA
0,735608933;0,459449952;0,735608933;0,353298879
0,735244539;0,4220439;0,735244539;0,486550175
0,715418048;0,374170792;0,715418048;0,491500906
0,720561982;0,430678452;0,720561982;0,409866821
0,754198449;0,425697955;0,754198449;0,448882763
0,750844806;0,441262709;0,750844806;0,529269894
0,746407067;0,292457142;0,746407067;0,426922942
0,780282818;0,381584649;0,780282818;0,487791156
0,754247083;0,422206107;0,754247083;0,412243295
0,765750402;0,428139831;0,765750402;0,442160431
0,74591379;0,488138077;0,74591379;0,499553342
0,693031018;0,541976787;0,693031018;0,417403161
0,711394223;0,613925442;0,711394223;0,450865123
0,747505674;0,508924468;0,747505674;0,427410259
0,736495861;0,465903617;0,736495861;0,472123898
0,738408602;0,575292818;0,738408602;0,463899271
0,754874921;0,556212118;0,754874921;0,424677844
0,695621898;0,536033276;0,695621898;0,536479899
0,7156379;0,486615799;0,7156379;0,438823035
0,727047838;0,450529945;0,727047838;0,470293457
0,730778578;0,516771264;0,730778578;0,592077467
0,686758001;0,545672587;0,686758001;0,404167807
0,742032928;0,485012379;0,742032928;0,516904118
0,737622765;0,555157636;0,737622765;0,452953394
0,770934328;0,514946273;0,770934328;0,410488544
0,755208677;0,5565027;0,755208677;0,420859477
0,73595361;0,587364655;0,73595361;0,452379242
0,686318126;0,464941392;0,686318126;0,426855842
0,745817657;0,51802083;0,745817657;0,523033624
0,743871397;0,453636389;0,743871397;0,452732387
0,756810415;0,448097256;0,756810415;0,511416529
0,713984533;0,558947525;0,713984533;0,468662058
0,721133735;0,583029578;0,721133735;0,423111098
0,732370073;0,621036234;0,732370073;0,402036651
0,755031267;0,473633805;0,755031267;0,475678491
0,743715844;0,510796538;0,743715844;0,414144988
0,718530368;0,517646863;0,718530368;0,537129443
0,755176006;0,483601516;0,755176006;0,517734122
0,740092853;0,513015854;0,740092853;0,46901251
0,757378154;0,485432244;0,757378154;0,464529421
0,717336934;0,583887951;0,717336934;0,562095152
0,732989364;0,443033591;0,732989364;0,427095335
0,7705777;0,529570416;0,7705777;0,525621174
0,762439349;0,440455039;0,762439349;0,429632009
0,80330917;0,588578271;0,80330917;0,508668138
0,805709897;0,498185291;0,805709897;0,625245515
0,704980013;0,68726818;0,704980013;0,637120524
0,766817694;0,527766753;0,766817694;0,516471182
0,734013305;0,535869216;0,734013305;0,542032627
0,800280118;0,502364845;0,800280118;0,605928058
0,770188887;0,552040352;0,770188887;0,516874184
0,793726653;0,586183923;0,793726653;0,523377872
0,722446086;0,553914086;0,722446086;0,511678026
0,789153301;0,575431418;0,789153301;0,557215034
0,68658446;0,590838577;0,68658446;0,49699594
0,718971259;0,422614738;0,718971259;0,39816479
0,686758001;0,545672587;0,686758001;0,404167807
0,823486959;0,528174014;0,823486959;0,58735862
0,843654;0,575160235;0,843654;0,437935211
0,781571041;0,58578011;0,781571041;0,535478471
